bike_latitude,bike_longitude,name,distance,address
43.665269,-79.319796,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8"
43.665269,-79.319796,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4"
43.665269,-79.319796,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1"
43.665269,-79.319796,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1"
43.665269,-79.319796,Udupi Palace,810,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3"
43.67142,-79.445947,The Greater Good Bar,581,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1"
43.67142,-79.445947,Tre Mari Bakery,603,"1311 Saint Clair Ave W, Toronto ON M6E 1C2"
43.67142,-79.445947,Hale Coffee,729,"300 Campbell St (Dupont St), Toronto ON"
43.67142,-79.445947,Parallel,617,"217 Geary Ave, Toronto ON M6H 2C1"
43.67142,-79.445947,Blood Brothers Brewing,774,"165 Geary Ave (at Barlett Ave N), Toronto ON M6H 2B8"
43.666224,-79.317693,Rorschach Brewing,349,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8"
43.666224,-79.317693,The Burger's Priest,180,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3"
43.666224,-79.317693,Udupi Palace,752,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3"
43.666224,-79.317693,Brett's Ice Cream,406,"1698 Queen St W, Scarborough ON M6R 1B3"
43.666224,-79.317693,Hasting Snack Bar,950,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1"
43.653236,-79.376716,Richmond Station,276,"1 Richmond St W (Yonge Street), Toronto ON M5H 3W4"
43.653236,-79.376716,Booster Juice,154,"2 Queen St E (Suite #110), Toronto ON M5C 3G7"
43.653236,-79.376716,Terroni,271,"57A Adelaide St E (at Church St.), Toronto ON M5C 1K6"
43.653236,-79.376716,Dineen Coffee Co,346,"140 Yonge St (at Temperance St), Toronto ON M5C 1X6"
43.653236,-79.376716,Beer Bistro,426,"18 King St E (at Yonge St.), Toronto ON M5C 1C4"
43.663722,-79.380288,Black Eagle,43,"457 Church St (Alexander), Toronto ON M4Y 2C5"
43.663722,-79.380288,Churchmouse & Firkin,101,"475 Church St (at Maitland St.), Toronto ON M4Y 2C5"
43.663722,-79.380288,Hair of the Dog,111,"425 Church St (at Wood St.), Toronto ON M4Y 2C3"
43.663722,-79.380288,Woody's,74,"467 Church St, Toronto ON M4Y 2C5"
43.663722,-79.380288,Storm Crow Manor,362,"580 Church St, Toronto ON M4Y 2E5"
43.657763,-79.389165,Hailed Coffee,456,"44 Gerrard St W (Yonge St), Toronto ON M5G 2K2"
43.657763,-79.389165,Tim Hortons,337,"70 Gerrard St W (Bay St), Toronto ON M5G 1J5"
43.657763,-79.389165,Mercatto,315,"101 College St, Toronto ON M5G 1L7"
43.657763,-79.389165,Banh Mi Boys,604,"399 Yonge St (Gerrard St.), Toronto ON M5B 1S9"
43.657763,-79.389165,The Queen and Beaver Public House,454,"35 Elm St (at Bay St.), Toronto ON M5G 1H1"
43.656729,-79.382736,Hailed Coffee,245,"44 Gerrard St W (Yonge St), Toronto ON M5G 2K2"
43.656729,-79.382736,The Queen and Beaver Public House,104,"35 Elm St (at Bay St.), Toronto ON M5G 1H1"
43.656729,-79.382736,Banh Mi Boys,291,"399 Yonge St (Gerrard St.), Toronto ON M5B 1S9"
43.656729,-79.382736,Blaze Pizza,220,"10 Dundas St E, Toronto ON M5B 2G9"
43.656729,-79.382736,Chipotle Mexican Grill,147,"323 Yonge St (Yonge & Dundas), Toronto ON M5B 1R7"
